Player,Games Played,Starts,Subbed off,Minutes Played,Passes,Passing Acc,Long Passes,Long Pass Acc,Pass per 90,Forward Passes,Backward Passes,Left Pass,Right Pass,Passing Acc Opponents Half,Passing Acc Own Half,Assists,Key Passes,Crosses,Crossing Acc,Shots,Shots on Target,Goals,Right Foot Goals,Left Foot Goals,Heading Goals,Other,Goals In Box,Goals Out Box,Free Kick Goals,Conversion Rate,Mins Per Goal,Clears,Blocks,Interceptions,Tackles,Tackles Won,Duels,Duels Won,Air Duels,Air Duels Won,Yellow Cards,Red Cards,Fouls Won,Fouls Conceded,Goals Conceded,Shot At,Saves,Save Rate,Clean Sheets,Catches,Punches,Drops,Penalties Saved,Clearances,Team,Subbed on
Sam Raben,3.0,2.0,0.0,184.0,58.0,75.9,9.0,33.3,28.4,28.0,7.0,15.0,8.0,54.5,86.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,11.0,5.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,1.0
Shane Malcolm,8.0,7.0,1.0,657.0,207.0,72.9,9.0,33.3,28.4,57.0,48.0,68.0,34.0,65.4,77.6,0.0,11.0,13.0,0.0,13.0,10.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,23.1,219.0,2.0,0.0,1.0,14.0,7.0,105.0,43.0,14.0,5.0,1.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Colorado Springs Switchbacks FC,1.0
Alec Diaz,6.0,4.0,2.0,347.0,52.0,71.2,2.0,100.0,13.5,6.0,25.0,12.0,9.0,60.0,81.5,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,347.0,2.0,0.0,0.0,2.0,1.0,24.0,8.0,7.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tacoma Defiance,2.0
Aleks Berkolds,6.0,6.0,0.0,540.0,313.0,78.9,52.0,42.3,52.2,151.0,28.0,64.0,70.0,58.3,86.5,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,8.0,8.0,11.0,6.0,75.0,42.0,38.0,23.0,0.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tacoma Defiance,0.0
Alex Roldan,2.0,2.0,1.0,157.0,113.0,73.5,13.0,61.5,64.8,34.0,18.0,26.0,35.0,71.0,75.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,21.0,8.0,4.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tacoma Defiance,0.0
Alfonso Ocampo-Chavez,3.0,2.0,0.0,181.0,48.0,83.3,2.0,0.0,23.9,6.0,29.0,8.0,5.0,78.8,88.2,0.0,1.0,2.0,50.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,23.0,10.0,4.0,1.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tacoma Defiance,1.0
Antonee Burke-Gilroy,5.0,5.0,3.0,387.0,147.0,78.9,14.0,71.4,34.2,37.0,35.0,28.0,47.0,77.6,78.8,0.0,6.0,2.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,2.0,2.0,34.0,12.0,4.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tacoma Defiance,0.0
Austin Brummett,1.0,0.0,0.0,35.0,4.0,75.0,0.0,0.0,10.3,2.0,0.0,1.0,1.0,66.7,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tacoma Defiance,1.0
Azriel Gonzalez,7.0,4.0,3.0,361.0,116.0,72.4,12.0,33.3,28.9,29.0,30.0,24.0,33.0,70.0,75.0,0.0,7.0,2.0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.3,361.0,2.0,0.0,1.0,8.0,4.0,40.0,21.0,4.0,2.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tacoma Defiance,3.0
Ben Numbi,1.0,0.0,0.0,11.0,9.0,88.9,1.0,100.0,73.6,1.0,1.0,4.0,3.0,100.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tacoma Defiance,1.0
